file,Spectral Points,Tgas,Tref,Trot,Tvib,add_at_used,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,export_rovib_fraction,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,parsum_mode,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding
20210807_Tvib300K_Trot300K.spec,5000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,0.04382014274597168,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343514.5879142,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002665519714355469, 'reinitialize': {'copy_database': 0.0005888938903808594, 'memory_usage_warning': 0.0011620521545410156, 'reset_population': 2.7418136596679688e-05, 'value': 0.0017924308776855469}, 'scaled_eq_linestrength': 0.005606174468994141, 'calc_lineshift': 0.0007379055023193359, 'calc_hwhm': 0.011583566665649414, 'generate_wavenumber_arrays': 0.0006556510925292969, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.008300065994262695, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0009779930114746094, 'DLM_Distribute_lines': 0.00041031837463378906, 'DLM_convolve': 0.01237177848815918, 'value': 0.022249460220336914}, 'calc_other_spectral_quan': 0.0008418560028076172, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.08,5001.0
20210807_Tvib300K_Trot300K_1.spec,5714.285714285714,300.0,296.0,300.0,300.0,cython,300.0,fft,0.05555129051208496,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343514.715913,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00024008750915527344, 'reinitialize': {'copy_database': 0.0006470680236816406, 'memory_usage_warning': 0.001218557357788086, 'reset_population': 3.123283386230469e-05, 'value': 0.0019116401672363281}, 'scaled_eq_linestrength': 0.006163120269775391, 'calc_lineshift': 0.0007455348968505859, 'calc_hwhm': 0.011251449584960938, 'generate_wavenumber_arrays': 0.0005710124969482422, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.009125232696533203, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.0010859966278076172, 'DLM_Distribute_lines': 0.00045561790466308594, 'DLM_convolve': 0.022974252700805664, 'value': 0.0339045524597168}, 'calc_other_spectral_quan': 0.0006866455078125, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.07,5001.0
20210807_Tvib300K_Trot300K_2.spec,6666.666666666666,300.0,296.0,300.0,300.0,cython,300.0,fft,0.05317950248718262,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343514.8439116,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002357959747314453, 'reinitialize': {'copy_database': 0.0004215240478515625, 'memory_usage_warning': 0.0012350082397460938, 'reset_population': 3.0517578125e-05, 'value': 0.0017004013061523438}, 'scaled_eq_linestrength': 0.006231069564819336, 'calc_lineshift': 0.0008943080902099609, 'calc_hwhm': 0.011817216873168945, 'generate_wavenumber_arrays': 0.0005700588226318359, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.00827932357788086, 'DLM_Initialized_vectors': 6.4373016357421875e-06, 'DLM_closest_matching_line': 0.0015902519226074219, 'DLM_Distribute_lines': 0.00046253204345703125, 'DLM_convolve': 0.02052021026611328, 'value': 0.031015396118164062}, 'calc_other_spectral_quan': 0.0006439685821533203, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.060000000000000005,5001.0
20210807_Tvib300K_Trot300K_3.spec,8000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,0.05658149719238281,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343514.9679105,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00024390220642089844, 'reinitialize': {'copy_database': 0.0004241466522216797, 'memory_usage_warning': 0.0012049674987792969, 'reset_population': 3.147125244140625e-05, 'value': 0.0016751289367675781}, 'scaled_eq_linestrength': 0.0055162906646728516, 'calc_lineshift': 0.0007634162902832031, 'calc_hwhm': 0.01196432113647461, 'generate_wavenumber_arrays': 0.0005800724029541016, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.008219480514526367, 'DLM_Initialized_vectors': 6.4373016357421875e-06, 'DLM_closest_matching_line': 0.0008113384246826172, 'DLM_Distribute_lines': 0.0004439353942871094, 'DLM_convolve': 0.025338411331176758, 'value': 0.03497624397277832}, 'calc_other_spectral_quan': 0.0007901191711425781, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.05,5001.0
20210807_Tvib300K_Trot300K_4.spec,10000.000000000002,300.0,296.0,300.0,300.0,cython,300.0,fft,0.06801605224609375,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343515.099909,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002396106719970703, 'reinitialize': {'copy_database': 0.0007793903350830078, 'memory_usage_warning': 0.00159454345703125, 'reset_population': 3.0517578125e-05, 'value': 0.0024194717407226562}, 'scaled_eq_linestrength': 0.00528407096862793, 'calc_lineshift': 0.0007529258728027344, 'calc_hwhm': 0.011118412017822266, 'generate_wavenumber_arrays': 0.0005934238433837891, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.008129358291625977, 'DLM_Initialized_vectors': 6.198883056640625e-06, 'DLM_closest_matching_line': 0.0008358955383300781, 'DLM_Distribute_lines': 0.0004904270172119141, 'DLM_convolve': 0.03665590286254883, 'value': 0.046758413314819336}, 'calc_other_spectral_quan': 0.00077056884765625, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.039999999999999994,5001.0
20210807_Tvib300K_Trot300K_5.spec,13333.333333333334,300.0,296.0,300.0,300.0,cython,300.0,fft,0.044355154037475586,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343515.211908,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00024509429931640625, 'reinitialize': {'copy_database': 0.0009224414825439453, 'memory_usage_warning': 0.0013759136199951172, 'reset_population': 3.504753112792969e-05, 'value': 0.0023505687713623047}, 'scaled_eq_linestrength': 0.006369113922119141, 'calc_lineshift': 0.0007851123809814453, 'calc_hwhm': 0.012757062911987305, 'generate_wavenumber_arrays': 0.0006401538848876953, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.008514404296875, 'DLM_Initialized_vectors': 5.7220458984375e-06, 'DLM_closest_matching_line': 0.001089334487915039, 'DLM_Distribute_lines': 0.0012464523315429688, 'DLM_convolve': 0.009402990341186523, 'value': 0.020412206649780273}, 'calc_other_spectral_quan': 0.0007162094116210938, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.03,5001.0
20210807_Tvib300K_Trot300K_6.spec,19999.999999999996,300.0,296.0,300.0,300.0,cython,300.0,fft,0.05287528038024902,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343515.3439066,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00023865699768066406, 'reinitialize': {'copy_database': 0.0004057884216308594, 'memory_usage_warning': 0.0012099742889404297, 'reset_population': 3.0517578125e-05, 'value': 0.0016605854034423828}, 'scaled_eq_linestrength': 0.0058345794677734375, 'calc_lineshift': 0.0008401870727539062, 'calc_hwhm': 0.01124882698059082, 'generate_wavenumber_arrays': 0.0005955696105957031, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.008747577667236328, 'DLM_Initialized_vectors': 7.152557373046875e-06, 'DLM_closest_matching_line': 0.0009219646453857422, 'DLM_Distribute_lines': 0.0017867088317871094, 'DLM_convolve': 0.01965808868408203, 'value': 0.03149867057800293}, 'calc_other_spectral_quan': 0.0008778572082519531, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.020000000000000004,5001.0
20210807_Tvib300K_Trot300K_7.spec,39999.99999999996,300.0,296.0,300.0,300.0,cython,300.0,fft,0.10744905471801758,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343515.5479045,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0004012584686279297, 'reinitialize': {'copy_database': 0.0008463859558105469, 'memory_usage_warning': 0.003481626510620117, 'reset_population': 5.269050598144531e-05, 'value': 0.004410505294799805}, 'scaled_eq_linestrength': 0.00996088981628418, 'calc_lineshift': 0.0016529560089111328, 'calc_hwhm': 0.025089502334594727, 'generate_wavenumber_arrays': 0.0015838146209716797, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.015228033065795898, 'DLM_Initialized_vectors': 8.58306884765625e-06, 'DLM_closest_matching_line': 0.001279592514038086, 'DLM_Distribute_lines': 0.005196332931518555, 'DLM_convolve': 0.04111599922180176, 'value': 0.06330370903015137}, 'calc_other_spectral_quan': 0.0009047985076904297, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.010000000000000009,5001.0
20210807_Tvib300K_Trot300K_8.spec,40000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,0.06989669799804688,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343515.707903,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00024008750915527344, 'reinitialize': {'copy_database': 0.0004296302795410156, 'memory_usage_warning': 0.0011875629425048828, 'reset_population': 3.0517578125e-05, 'value': 0.001661539077758789}, 'scaled_eq_linestrength': 0.005736351013183594, 'calc_lineshift': 0.0008499622344970703, 'calc_hwhm': 0.011391639709472656, 'generate_wavenumber_arrays': 0.0013341903686523438, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.00953984260559082, 'DLM_Initialized_vectors': 7.3909759521484375e-06, 'DLM_closest_matching_line': 0.001050710678100586, 'DLM_Distribute_lines': 0.0015349388122558594, 'DLM_convolve': 0.03535604476928711, 'value': 0.04769110679626465}, 'calc_other_spectral_quan': 0.0009026527404785156, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.01,5001.0
20210807_Tvib300K_Trot300K_9.spec,44444.44444444444,300.0,296.0,300.0,300.0,cython,300.0,fft,0.10460567474365234,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343515.891901,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002613067626953125, 'reinitialize': {'copy_database': 0.0005974769592285156, 'memory_usage_warning': 0.0014522075653076172, 'reset_population': 3.266334533691406e-05, 'value': 0.0020999908447265625}, 'scaled_eq_linestrength': 0.006391763687133789, 'calc_lineshift': 0.0012128353118896484, 'calc_hwhm': 0.013048648834228516, 'generate_wavenumber_arrays': 0.001146554946899414, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.011065244674682617, 'DLM_Initialized_vectors': 8.58306884765625e-06, 'DLM_closest_matching_line': 0.0010914802551269531, 'DLM_Distribute_lines': 0.003081083297729492, 'DLM_convolve': 0.0627291202545166, 'value': 0.07921218872070312}, 'calc_other_spectral_quan': 0.0011017322540283203, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.009000000000000001,5001.0
20210807_Tvib300K_Trot300K_10.spec,50000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,0.32659482955932617,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343516.3278968,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00025153160095214844, 'reinitialize': {'copy_database': 0.0010306835174560547, 'memory_usage_warning': 0.001226186752319336, 'reset_population': 3.123283386230469e-05, 'value': 0.0023031234741210938}, 'scaled_eq_linestrength': 0.005866050720214844, 'calc_lineshift': 0.0008523464202880859, 'calc_hwhm': 0.011312007904052734, 'generate_wavenumber_arrays': 0.0008616447448730469, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.012073993682861328, 'DLM_Initialized_vectors': 7.152557373046875e-06, 'DLM_closest_matching_line': 0.0010581016540527344, 'DLM_Distribute_lines': 0.0037801265716552734, 'DLM_convolve': 0.2855830192565918, 'value': 0.304065465927124}, 'calc_other_spectral_quan': 0.0010080337524414062, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.008,5001.0
20210807_Tvib300K_Trot300K_11.spec,57142.857142857145,300.0,296.0,300.0,300.0,cython,300.0,fft,0.31682515144348145,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343516.7358925,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00023746490478515625, 'reinitialize': {'copy_database': 0.0007982254028320312, 'memory_usage_warning': 0.0011920928955078125, 'reset_population': 3.0994415283203125e-05, 'value': 0.002035379409790039}, 'scaled_eq_linestrength': 0.0055255889892578125, 'calc_lineshift': 0.0007658004760742188, 'calc_hwhm': 0.011288166046142578, 'generate_wavenumber_arrays': 0.0014424324035644531, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.018385887145996094, 'DLM_Initialized_vectors': 7.62939453125e-06, 'DLM_closest_matching_line': 0.0011043548583984375, 'DLM_Distribute_lines': 0.0065038204193115234, 'DLM_convolve': 0.26654767990112305, 'value': 0.29438209533691406}, 'calc_other_spectral_quan': 0.0010640621185302734, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.007,5001.0
20210807_Tvib300K_Trot300K_12.spec,66666.66666666667,300.0,296.0,300.0,300.0,cython,300.0,fft,0.3764760494232178,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343517.207888,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00023746490478515625, 'reinitialize': {'copy_database': 0.0006284713745117188, 'memory_usage_warning': 0.0011951923370361328, 'reset_population': 3.0994415283203125e-05, 'value': 0.0018689632415771484}, 'scaled_eq_linestrength': 0.006036043167114258, 'calc_lineshift': 0.0008213520050048828, 'calc_hwhm': 0.011763811111450195, 'generate_wavenumber_arrays': 0.0010683536529541016, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.019093036651611328, 'DLM_Initialized_vectors': 7.152557373046875e-06, 'DLM_closest_matching_line': 0.001505136489868164, 'DLM_Distribute_lines': 0.005053520202636719, 'DLM_convolve': 0.3255343437194824, 'value': 0.3534047603607178}, 'calc_other_spectral_quan': 0.001194000244140625, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.006,5001.0
20210807_Tvib300K_Trot300K_13.spec,80000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,0.13950109481811523,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343517.4478855,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00023865699768066406, 'reinitialize': {'copy_database': 0.0006964206695556641, 'memory_usage_warning': 0.0013608932495117188, 'reset_population': 3.2901763916015625e-05, 'value': 0.0021049976348876953}, 'scaled_eq_linestrength': 0.0064084529876708984, 'calc_lineshift': 0.0010027885437011719, 'calc_hwhm': 0.016127347946166992, 'generate_wavenumber_arrays': 0.0014181137084960938, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.022427797317504883, 'DLM_Initialized_vectors': 7.867813110351562e-06, 'DLM_closest_matching_line': 0.0012059211730957031, 'DLM_Distribute_lines': 0.006902456283569336, 'DLM_convolve': 0.07961606979370117, 'value': 0.11085367202758789}, 'calc_other_spectral_quan': 0.0012557506561279297, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.005,5001.0
20210807_Tvib300K_Trot300K_14.spec,100000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,0.7350380420684814,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343518.2918768,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00023245811462402344, 'reinitialize': {'copy_database': 0.000408172607421875, 'memory_usage_warning': 0.0011746883392333984, 'reset_population': 3.0040740966796875e-05, 'value': 0.0016274452209472656}, 'scaled_eq_linestrength': 0.006145954132080078, 'calc_lineshift': 0.0007567405700683594, 'calc_hwhm': 0.014487266540527344, 'generate_wavenumber_arrays': 0.002318143844604492, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.02227783203125, 'DLM_Initialized_vectors': 1.049041748046875e-05, 'DLM_closest_matching_line': 0.001600503921508789, 'DLM_Distribute_lines': 0.00712132453918457, 'DLM_convolve': 0.6738295555114746, 'value': 0.7079436779022217}, 'calc_other_spectral_quan': 0.0014328956604003906, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.004,5001.0
20210807_Tvib300K_Trot300K_15.spec,133333.33333333337,300.0,296.0,300.0,300.0,cython,300.0,fft,1.027764081954956,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628343519.4478652,radis,19238.0,0.0,0.0,0.0,1.0,1.0,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00028061866760253906, 'reinitialize': {'copy_database': 0.0005540847778320312, 'memory_usage_warning': 0.001312255859375, 'reset_population': 3.361701965332031e-05, 'value': 0.0019176006317138672}, 'scaled_eq_linestrength': 0.007285118103027344, 'calc_lineshift': 0.0009071826934814453, 'calc_hwhm': 0.012322664260864258, 'generate_wavenumber_arrays': 0.0027611255645751953, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.03271484375, 'DLM_Initialized_vectors': 7.62939453125e-06, 'DLM_closest_matching_line': 0.0013587474822998047, 'DLM_Distribute_lines': 0.009126901626586914, 'DLM_convolve': 0.9527647495269775, 'value': 1.000175952911377}, 'calc_other_spectral_quan': 0.0020062923431396484, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,19238.0,boltzmann,3.0,5.0,0.01,0.01,5100.0,5250.0,5000.0,4850.0,cm-1,0.002999999999999999,5001.0
